"illuminance","blinds","lamps","rh","co2","temp","occupancy"
8,100,0,37.50999832,394.8670044,26.25,-1
8,100,0,37.70000076,394.8670044,26.25,-1
8,100,0,37.70000076,404.4370117,26.25,-1
7.5,100,0,37.70000076,404.4370117,26.25,-1
7.5,100,0,37.70000076,402.0209961,26.25,-1
7,100,0,37.70000076,402.0209961,26.25,-1
6.5,100,0,37.70000076,402.0209961,26.25,-1
6.5,100,0,37.70000076,402.0209961,25.98999977,-1
6.5,100,0,38.54999924,402.0209961,25.98999977,-1
6.5,100,0,38.54999924,404.3890076,25.98999977,-1
5.5,100,0,38.54999924,404.3890076,25.98999977,-1
5.5,100,0,38.54999924,402.0679932,25.98999977,-1
0,100,0,38.54999924,402.0679932,25.98999977,-1
0,100,0,38.54999924,404.4840088,25.98999977,-1
0,100,0,38.54999924,404.4840088,25.72999954,-1
0,100,0,38.54999924,404.3420105,25.72999954,-1
0,100,0,39.34000015,404.3420105,25.72999954,-1
0,100,0,39.34000015,394.8200073,25.72999954,-1
0,100,0,39.34000015,404.4840088,25.72999954,-1
0,100,0,39.34000015,404.4370117,25.72999954,-1
0,100,0,39.34000015,404.4370117,25.47999954,-1
0,100,0,39.83000183,404.4370117,25.47999954,-1
0,100,0,39.83000183,394.8200073,25.47999954,-1
0,100,0,39.83000183,402.1149902,25.47999954,-1
0,100,0,39.83000183,411.8269958,25.47999954,-1
0,100,0,39.83000183,399.6520081,25.47999954,-1
0,100,0,39.83000183,399.6520081,25.29999924,-1
0,100,0,39.83000183,404.4840088,25.29999924,-1
0,100,0,40.25999832,404.4840088,25.29999924,-1
0,100,0,40.25999832,406.8999939,25.29999924,-1
0,100,0,40.25999832,414.5750122,25.29999924,-1
0,100,0,40.25999832,404.5310059,25.29999924,-1
0,100,0,40.25999832,414.5750122,25.04999924,-1
0,100,0,40.63000107,414.5750122,25.04999924,-1
0,100,0,40.63000107,414.2430115,25.04999924,-1
0,100,0,40.63000107,404.4370117,25.04999924,-1
0,100,0,40.63000107,411.7799988,25.04999924,-1
0,100,0,40.63000107,411.7799988,24.87000084,-1
0,100,0,40.81000137,411.7799988,24.87000084,-1
0,100,0,40.81000137,414.1489868,24.87000084,-1
0,100,0,40.81000137,407.2319946,24.87000084,-1
0,100,0,40.81000137,414.1960144,24.70000076,-1
0,100,0,40.56000137,414.1960144,24.70000076,-1
0,100,0,40.56000137,414.1489868,24.70000076,-1
0,100,0,40.13999939,414.1489868,24.70000076,-1
0,100,0,40.13999939,411.7799988,24.62000084,-1
1.5,100,0,36.65999985,416.7539978,22.63999939,-1
1.5,100,0,36.65999985,421.7290039,22.63999939,-1
1.5,100,0,36.77999878,421.7290039,22.63999939,-1
1.5,100,0,36.77999878,414.2430115,22.63999939,-1
2,100,0,36.77999878,414.2430115,22.63999939,-1
2,100,0,36.77999878,423.7659912,22.63999939,-1
2,100,0,36.77999878,421.5390015,22.63999939,-1
2,100,0,37.09000015,421.5390015,22.63999939,-1
2,100,0,37.09000015,423.8599854,22.63999939,-1
2.5,100,0,37.09000015,423.8599854,22.63999939,-1
2.5,100,0,37.09000015,433.1929932,22.63999939,-1
2.5,100,0,37.09000015,426.5610046,22.63999939,-1
2.5,100,0,37.33000183,426.5610046,22.63999939,-1
53,100,100,37.33000183,426.5610046,22.63999939,1
53,42,100,37.33000183,426.5610046,22.63999939,1
107.5,100,100,37.33000183,426.5610046,22.63999939,1
134,100,100,37.33000183,426.5610046,22.63999939,1
134,100,100,37.33000183,438.5469971,22.63999939,1
130.5,100,100,37.33000183,438.5469971,22.63999939,1
130.5,100,100,37.33000183,433.6199951,22.63999939,1
135.5,100,100,37.33000183,433.6199951,22.63999939,1
135.5,100,100,37.33000183,433.3349915,22.63999939,1
135.5,100,100,40.25999832,433.3349915,22.63999939,1
135.5,100,100,40.25999832,433.3349915,22.63999939,-1
136,100,100,40.25999832,433.3349915,22.63999939,1
136,100,100,40.25999832,433.2879944,22.63999939,1
136,100,100,40.25999832,433.2879944,22.72999954,1
136,100,100,40.25999832,433.2879944,22.72999954,-1
137.5,100,100,40.25999832,433.2879944,22.72999954,1
137.5,100,100,40.25999832,445.4634857,22.72999954,1
146,100,100,40.25999832,445.4634857,22.72999954,1
146,100,100,40.25999832,445.4159851,22.72999954,1
146,100,100,40.25999832,445.4159851,22.98999977,1
146,100,100,40.25999832,443.0469971,22.98999977,1
146,100,100,40.68999863,443.0469971,22.98999977,1
158,100,100,40.68999863,443.0469971,22.98999977,1
158,100,100,40.68999863,459.7709961,22.98999977,1
172,100,100,40.68999863,459.7709961,22.98999977,1
172,100,100,40.68999863,452.6640015,22.98999977,1
172,100,100,40.68999863,467.3510132,22.98999977,1
174,100,100,40.68999863,467.3510132,22.98999977,1
174,100,100,40.68999863,472.1830139,23.15999985,1
174,100,100,40.86999893,472.1830139,23.15999985,1
183.5,100,100,40.86999893,472.1830139,23.15999985,1
